Date,Not indexed,Indexed,Impressions
2026-04-01,,,125011
2026-04-02,,,116636
2026-04-03,,,102201
2026-04-04,747762.0,36455.0,92950
2026-04-05,740036.0,31283.0,92177
2026-04-06,740036.0,31283.0,115379
2026-04-07,723917.0,29203.0,124816
2026-04-08,723917.0,29203.0,123750
2026-04-09,723917.0,29203.0,133921
2026-04-10,723917.0,29203.0,106447
2026-04-11,707805.0,27373.0,86747
2026-04-12,707805.0,27373.0,93415
2026-04-13,707805.0,27373.0,121343
2026-04-14,691789.0,25184.0,123693
2026-04-15,691789.0,25184.0,119742
2026-04-16,691789.0,25184.0,123030
2026-04-17,691789.0,25184.0,105676
2026-04-18,663917.0,24419.0,80519
2026-04-19,663917.0,24419.0,91403
2026-04-20,663917.0,24419.0,118076
2026-04-21,642759.0,23648.0,114394
2026-04-22,642759.0,23648.0,116891
2026-04-23,642759.0,23648.0,107906
2026-04-24,642759.0,23648.0,95543
2026-04-25,632331.0,22029.0,75661
2026-04-26,632331.0,22029.0,81212
2026-04-27,632331.0,22029.0,114007
2026-04-28,615092.0,19899.0,115218
2026-04-29,615092.0,19899.0,121913
2026-04-30,615092.0,19899.0,121068
2026-05-01,615092.0,19899.0,103145
2026-05-02,601086.0,17863.0,89377
2026-05-03,601086.0,17863.0,99074
2026-05-04,601086.0,17863.0,121481
2026-05-05,565734.0,17042.0,127801
2026-05-06,565734.0,17042.0,136215
2026-05-07,565734.0,17042.0,131034
2026-05-08,565734.0,17042.0,119499
2026-05-09,533180.0,16583.0,97498
2026-05-10,533180.0,16583.0,104476
2026-05-11,533180.0,16583.0,127089
2026-05-12,510270.0,16442.0,125320
2026-05-13,510270.0,16442.0,134162
2026-05-14,510270.0,16442.0,120565
2026-05-15,510270.0,16442.0,101475
2026-05-16,492231.0,16171.0,75952
2026-05-17,492231.0,16171.0,83642
2026-05-18,492231.0,16171.0,115348
2026-05-19,456132.0,15427.0,109126
2026-05-20,456132.0,15427.0,112995
2026-05-21,456132.0,15427.0,109597
2026-05-22,456132.0,15427.0,98333
2026-05-23,403057.0,15346.0,82636
2026-05-24,403057.0,15346.0,94353
2026-05-25,403057.0,15346.0,100326
2026-05-26,351277.0,15752.0,113739
2026-05-27,351277.0,15752.0,121034
2026-05-28,351277.0,15752.0,113046
2026-05-29,351277.0,15752.0,99637
2026-05-30,335239.0,16207.0,79976
2026-05-31,335239.0,16207.0,88687
2026-06-01,335239.0,16207.0,115822
2026-06-02,315057.0,19917.0,112773
2026-06-03,315057.0,19917.0,124572
2026-06-04,315057.0,19917.0,125933
2026-06-05,315057.0,19917.0,106440
2026-06-06,303503.0,19484.0,87510
2026-06-07,303503.0,19484.0,91521
2026-06-08,303503.0,19484.0,120007
2026-06-09,262402.0,19979.0,118591
2026-06-10,262402.0,19979.0,121925
2026-06-11,262402.0,19979.0,113823
2026-06-12,262402.0,19979.0,97080
