Date,Poor,Need improvement,Good,Total
2026-04-01,598,4192,3,4793
2026-04-02,594,4026,2,4622
2026-04-03,589,3948,4,4541
2026-04-04,822,3676,5,4503
2026-04-05,837,3568,5,4410
2026-04-06,871,3465,4,4340
2026-04-07,863,3430,51,4344
2026-04-08,837,3418,4,4259
2026-04-09,858,3552,5,4415
2026-04-10,851,3624,5,4480
2026-04-11,891,3594,5,4490
2026-04-12,1082,3290,5,4377
2026-04-13,914,3729,3,4646
2026-04-14,1179,3493,2,4674
2026-04-15,1126,3456,4,4586
2026-04-16,1159,3336,4,4499
2026-04-17,1154,3300,4,4458
2026-04-18,1170,3351,4,4525
2026-04-19,1187,3402,4,4593
2026-04-20,1228,3496,54,4778
2026-04-21,1288,3751,55,5094
2026-04-22,1015,4015,56,5086
2026-04-23,1040,3959,56,5055
2026-04-24,1250,3657,5,4912
2026-04-25,1280,3690,55,5025
2026-04-26,1359,3855,5,5219
2026-04-27,1359,3843,4,5206
2026-04-28,2102,2904,4,5010
2026-04-29,2293,2549,3,4845
2026-04-30,2297,2645,2,4944
2026-05-01,2282,2625,0,4907
2026-05-02,2356,2423,0,4779
2026-05-03,2266,2402,0,4668
2026-05-04,2411,2664,0,5075
2026-05-05,2567,2627,0,5194
2026-05-06,2686,2728,0,5414
2026-05-07,2737,2516,0,5253
2026-05-08,2839,2537,0,5376
2026-05-09,3256,2002,0,5258
2026-05-10,3433,2047,0,5480
2026-05-11,3592,1825,0,5417
2026-05-12,3853,1815,0,5668
2026-05-13,4583,1170,0,5753
2026-05-14,4639,1143,2,5784
2026-05-15,4490,1114,2,5606
2026-05-16,4385,1108,0,5493
2026-05-17,4291,1165,0,5456
2026-05-18,4319,1121,0,5440
2026-05-19,4089,1171,0,5260
2026-05-20,3838,1147,0,4985
2026-05-21,3839,1154,0,4993
2026-05-22,3874,1180,0,5054
2026-05-23,3870,1199,0,5069
2026-05-24,4024,1220,0,5244
2026-05-25,3934,1176,0,5110
2026-05-26,3951,1188,0,5139
2026-05-27,3903,1174,0,5077
2026-05-28,4046,1171,0,5217
2026-05-29,3816,1129,2,4947
2026-05-30,3742,1149,0,4891
2026-05-31,3618,1161,2,4781
2026-06-01,2848,1876,2,4726
2026-06-02,2884,1835,2,4721
2026-06-03,2909,1830,2,4741
2026-06-04,3067,1876,2,4945
2026-06-05,3029,1783,0,4812
2026-06-06,3063,1824,0,4887
2026-06-07,3158,1798,0,4956
2026-06-08,2988,1697,0,4685
2026-06-09,2971,1720,0,4691
2026-06-10,2885,1771,0,4656
2026-06-11,2969,1861,0,4830
2026-06-12,2913,1915,0,4828
2026-06-13,2792,1879,0,4671
2026-06-14,2699,1867,1,4567
2026-06-15,2626,1834,2,4462
2026-06-16,2441,1816,2,4259
2026-06-17,2187,1682,2,3871
2026-06-18,2206,1715,2,3923
2026-06-19,2239,1714,2,3955
2026-06-20,2120,1574,2,3696
2026-06-21,2206,1674,2,3882
2026-06-22,2496,1809,2,4307
2026-06-23,2461,1824,2,4287
2026-06-24,2578,1828,2,4408
2026-06-25,2406,1795,1,4202
2026-06-26,2441,1776,1,4218
2026-06-27,2471,1800,1,4272
2026-06-28,2542,1814,1,4357
2026-06-29,2503,1765,1,4269
