URL,Final URL,Status Code,Redirected,Content Type,Title,Title Length,Meta Description,Meta Desc Length,H1,H1 Count,H2 Count,Canonical,Meta Robots,Indexable,Indexability Reason,Internal Links,External Links,Images,Images Missing Alt,Word Count,Has Schema,HTTPS,Error
https://www.atlascopco.com/,https://www.atlascopco.com/,200,False,text/html,Atlas Copco | Level up your experience,38,Atlas Copco | Level up your experience,38,,0,0,https://www.atlascopco.com/,,True,Indexable,166,16,3,0,374,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/maintenance-kits,https://www.atlascopco.com/en-us/compressors/service/parts/maintenance-kits,200,False,text/html,Air compressor service kit,26,"Never forget to order a spare part. With our air compressor service kits, we deliver the compressor parts you need for your maintenance intervention.",149,Air compressor service kit,1,7,https://www.atlascopco.com/en-us/compressors/service/parts/maintenance-kits,,True,Indexable,143,20,17,1,1673,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/air-compressor-filters,https://www.atlascopco.com/en-us/compressors/service/parts/air-compressor-filters,200,False,text/html,Air compressor filters and separators,37,Keep away dust and dirt contamination with genuine air compressor filters and separators.  Explore our range of air compressor filters,134,Air compressor filters and separators,1,16,https://www.atlascopco.com/en-us/compressors/service/parts/air-compressor-filters,,True,Indexable,143,21,18,0,2190,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/airnet-piping,https://www.atlascopco.com/en-us/compressors/service/parts/airnet-piping,200,False,text/html,AIRnet - Compressed air piping system,37,AIRnet provides a complete compressed air piping system from start to finish with the highest performance and efficiency for your distribution network.,151,AIRnet - Compressed air piping system,1,9,https://www.atlascopco.com/en-us/compressors/service/parts/airnet-piping,,True,Indexable,147,24,20,0,1847,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/line-filters,https://www.atlascopco.com/en-us/compressors/service/parts/line-filters,200,False,text/html,Air compressor line filters,27,"If your applications rely on the cleanest compressed air, our air compressor line filters will deliver. Minimal pressure drops, long lifetime, ISO-certified. See how",165,Air compressor line filters,1,8,https://www.atlascopco.com/en-us/compressors/service/parts/line-filters,,True,Indexable,149,20,18,0,1798,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil/1630114600-rotoinject,https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil/1630114600-rotoinject,200,False,text/html,1630114600 Roto Inject Fluid NDURANCE - Atlas Copco USA,55,Atlas Copco Roto Inject Fluid NDURANCE is a mineral based oil specially formulated to protect your GA-GX rotary screw compressor,128,1630114600 : Roto Inject Fluid NDURANCE,1,3,https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil/1630114600-rotoinject,,True,Indexable,142,19,13,0,1241,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/upgrade-programs,https://www.atlascopco.com/en-us/compressors/service/parts/upgrade-programs,200,False,text/html,Air compressor upgrades,23,"Upgrade your compressor with the latest technology and components to improve your performance, energy consumption and reliability. See the difference.",150,Air compressor upgrades,1,13,https://www.atlascopco.com/en-us/compressors/service/parts/upgrade-programs,,True,Indexable,152,19,23,2,2351,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/fixed-price-service,https://www.atlascopco.com/en-us/compressors/service/parts/fixed-price-service,200,False,text/html,Fixed Price services - Best compressor parts & maintenance,58,Control your compressor maintenance budget with Fixed Price services. Rely on the expertise of our factory-trained technicians and quality of genuine parts,155,Fixed Price services - Best compressor parts & maintenance,1,9,https://www.atlascopco.com/en-us/compressors/service/parts/fixed-price-service,,True,Indexable,149,19,18,0,1927,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts,https://www.atlascopco.com/en-us/compressors/service/parts,200,False,text/html,Air Compressor Parts & Accessories,34,Use Atlas Copco air compressor parts & accessories to increase your system lifetime. Enjoy the performance and quality you signed up for after each service intervention.,169,Air compressor parts,1,7,https://www.atlascopco.com/en-us/compressors/service/parts,,True,Indexable,156,20,22,0,1683,True,True,
https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil,https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil,200,False,text/html,"Air compressor oil, lubricants and fluids",41,"Every type of air compressor & vacuum pump needs a specific oil to achieve maximum uptime, performance and lifetime. Our compressed air oils and fluids deliver.",160,"Air compressor oil, lubricants and fluids",1,13,https://www.atlascopco.com/en-us/compressors/service/parts/compressor-oil,,True,Indexable,158,20,24,0,2482,True,True,
