URL,Status,Severity,Issue
https://www.atlascopco.com/en-us/compressors/service/efficiency,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/service/aftermarket-turbomachinery,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/single-stage-centrifugal-air-compressor-zhl,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-compressor/piston-compressor/professional-piston-compressor/cr-series,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/air-compressor/piston-compressor/professional-piston-compressor/cr-series,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-compressor/piston-compressor-north-america/cr-series,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/air-compressor/piston-compressor-north-america/cr-series,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-plus-dryers,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-refrigerated-air-dryers,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-refrigerated-air-dryers,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-refrigerated-air-dryers,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-vsd-variable-speed-drive,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-vsd-variable-speed-drive,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-dryers/refrigerant-air-dryers/fd-vsd-variable-speed-drive,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/products/condensate-treatment/wsd-ewd-iwd-wd-twd,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/condensate-treatment/wsd-ewd-iwd-wd-twd,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/condensate-treatment/wsd-ewd-wd-twd1,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/condensate-treatment/wsd-ewd-wd-twd1,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/air-blowers/single-stage-centrifugal-blower-zha,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/products/process-filtration,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/products/process-filtration,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/guides-and-ebooks/ebook-contact-form,200,Medium,Thin content (280 words)
https://www.atlascopco.com/en-us/compressors/guides-and-ebooks/ebook-nitrogen,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/guides-and-ebooks/ebook-nitrogen,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/guides-and-ebooks/ebook-nitrogen-generation,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/guides-and-ebooks/ebook-nitrogen-generation,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/variable-speed-compressors,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/variable-speed-compressors/more-than-air-compressor,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/variable-speed-compressors/more-than-air-compressor,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/gap-campaign/cut-the-carbon,200,Medium,Missing meta description
https://www.atlascopco.com/en-us/compressors/gap-campaign/cut-the-carbon/revamp-and-upgrades,200,Medium,Multiple H1 tags (2)
https://www.atlascopco.com/en-us/compressors/air-compressor-data,200,Medium,Multiple H1 tags (4)
https://www.atlascopco.com/en-us/compressors/process-filtration,200,Medium,Duplicate title
https://www.atlascopco.com/en-us/compressors/process-filtration,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/wiki/compressed-air-articles/gasflow-throttling,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/wiki/compressed-air-articles/changes-of-state-gases,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/wiki/compressed-air-articles/central-control,200,Medium,Duplicate meta description
https://www.atlascopco.com/en-us/compressors/wiki/compressed-air-articles/data-monitoring,200,Medium,Duplicate meta description
